0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.29907164,1.9033108,0.32248658,-1.8579445,0.034512628,-0.4284131,-1.3057241,-1.266036,-0.28034633,-1.486791,-0.1105615,-0.77038866,-1.1731886,-1.2355149,-0.6547223,-0.79273254,-1.828569,-1.1174953,-0.7352888,0.39083058,0.37467784,-0.13830385
0.6507408,1.5553309,1.5013516,-2.6970215,0.13163887,-1.3157165,-2.1858048,-1.1174661,-0.77792865,-2.401096,-0.6314339,-0.5012238,-2.2260141,-1.9603617,-0.85444295,-0.17133236,-2.742059,-1.195891,-1.015067,-0.031830348,-0.43405527,-0.96910787
0.52462,1.475711,1.1635864,-2.1918485,-0.25748488,-0.6966612,-1.4943491,-0.9701981,-0.48665112,-1.565027,-0.49226013,-0.43023142,-1.5774773,-1.2454028,-0.679896,0.078810975,-2.0864651,-0.8611876,-0.980596,-0.12793322,0.115816124,-0.91318804
0.20959672,1.3578085,1.1609399,-2.5497513,-0.23610225,-0.8680964,-1.962077,-1.0843637,-0.6955541,-1.8890301,-0.6254611,-0.4457624,-1.6661096,-1.3471262,-0.93755984,-0.06925789,-2.1922395,-1.0955715,-1.1189102,-0.23712325,0.055495672,-0.8475123
-0.08454635,0.496947,0.35109556,-0.5929844,0.086048715,-0.13235931,-0.55797994,-0.3385526,-0.29376134,-0.3927078,-0.21068072,-0.20379521,-0.45773882,-0.58560157,-0.53109646,0.4509574,-0.6736897,-0.21952872,-0.36223382,-0.10652829,0.06565674,0.0013974681
0.09360114,1.8502649,1.4565036,-2.7938442,0.61386824,-1.0433322,-2.3515189,-1.4844649,-0.6101705,-2.3985984,-0.4493143,-0.6602214,-1.6884553,-1.820114,-1.1284508,-0.5658863,-2.3567803,-1.3350791,-0.9755698,-0.017654067,-0.23974293,-0.49198306
0.7572963,1.793987,1.223477,-2.2724392,-0.11332722,-0.9442198,-1.1159363,-0.81909937,-0.56088656,-2.048348,-0.48274407,-0.81404155,-1.7679551,-1.229361,-1.1603454,-0.22288194,-2.6430528,-1.1607078,-0.8710615,0.12230528,0.23389742,-0.6439935
-0.36772162,0.5861107,0.4532649,-0.99332684,0.045553554,-0.37958112,-0.7417505,-0.83664197,-0.17537256,-1.1047484,-0.08615224,-0.3016062,-0.44567302,-0.74497163,-0.35940275,-0.06928023,-0.4998055,-0.32288808,-0.6187312,-0.09045536,-0.124237396,-0.06713777
-0.11456479,0.32787275,0.11247978,-0.56010157,-0.21498412,-0.056355048,-0.25443628,-0.34681648,-0.27343655,-0.63128865,-0.13767454,-0.32432118,-0.28192246,-0.4117491,-0.60948867,0.41027817,-0.4757631,-0.2778696,-0.52348983,-0.20272726,0.18375823,-0.1665298
0.094872974,0.47126907,0.21269365,-0.42952788,0.068460815,-0.44752058,-0.3414926,-0.29573643,-0.2795107,-0.78604186,-0.10177274,-0.1429975,-0.4812469,-0.6811398,-0.61577696,0.01354675,-0.94501245,-0.4891839,-0.26738274,0.0909148,0.04415726,-0.24258897
1.213111,2.0624518,0.90879136,-2.0323703,0.09782583,-1.0292846,-1.4809394,-1.1405385,-0.9456404,-1.9415864,-0.43175188,-0.6463094,-1.955983,-1.8640819,-1.0825373,0.36638558,-2.618969,-1.2880516,-1.0784128,0.16826928,-0.55557173,-0.4859544
0.08688773,0.56287086,0.3893842,-0.7392909,-0.014713261,-0.15368243,-0.48218575,-0.40732354,-0.3710502,-0.7312645,-0.17377223,-0.059849765,-0.35788786,-0.6006876,-0.2807795,0.113911465,-0.69461846,-0.037722893,-0.2943668,0.15632471,0.17966902,-0.13701373
-0.05642284,1.1671501,0.5562396,-1.2771378,0.31973055,-0.2998185,-0.72774166,-0.60457987,-0.36088404,-1.2188005,-0.18875256,-0.36660028,-0.70691615,-0.8774649,-0.85515356,-0.12767375,-1.1246029,-0.47089717,-0.64450586,0.062196024,0.31217408,-0.19109964
0.004149544,0.71942073,0.3993498,-1.2996981,-0.13512352,-0.21657634,-0.7597766,-0.2215524,-0.27416775,-0.73451304,-0.09726536,-0.5270169,-0.64791775,-0.78272915,-0.673023,0.039728828,-0.9465692,-0.5091771,-0.53829557,-0.13182625,0.44648293,-0.4233451
-0.40836447,1.5314711,0.7936771,-1.5014585,0.15773259,-0.1046751,-1.0589513,-0.8484259,-0.550156,-1.2775083,-0.20099333,-0.5004763,-0.8271099,-0.8495655,-0.87488264,-0.29365703,-1.4951504,-0.71557295,-0.602307,0.014220038,0.81344265,-0.31755242
0.81074506,1.4744711,0.45446408,-1.7454575,-0.19475612,-0.819594,-0.6283175,-0.6598162,-0.4179787,-1.582625,-0.3212499,-1.0838977,-1.3279676,-1.1900309,-1.0116961,-0.00033532828,-1.9734541,-1.4428896,-0.9346754,-0.13391432,-0.03060124,-0.34836012
0.25651398,1.063006,0.8676107,-1.2492614,0.10899733,-0.5775514,-0.61924225,-0.72059923,-0.50681627,-1.2022119,-0.4685058,-0.36841878,-0.9900061,-1.1226536,-0.7851686,0.12939593,-1.7561964,-0.53386307,-0.23246303,0.124549605,0.21689254,-0.19949502
-0.112625666,0.8650903,0.61232764,-1.3763385,0.059430216,-0.20349252,-0.9174319,-0.5424515,-0.033451892,-1.1765906,0.018406827,-0.42588615,-0.6282149,-0.77341163,-0.7297305,-0.23524058,-1.0041026,-0.33589193,-0.69774574,0.16284484,0.5090056,-0.30093545
-0.06436223,0.6803086,0.23852192,-0.7894082,0.0638705,-0.03719643,-0.40981007,-0.45630348,-0.15137582,-0.47584262,-0.021497156,-0.24613522,-0.19405086,-0.4423737,-0.16698566,-0.11162645,-0.527161,-0.25981733,-0.42702112,-0.02881552,0.3826496,-0.028444119
0.14631912,0.35437733,0.25407577,-0.55027276,-0.05530426,-0.26132402,-0.09542201,-0.32963294,-0.13202074,-0.6081662,-0.19728532,-0.150072,-0.26065585,-0.39136893,-0.27506006,0.105313614,-0.57831657,-0.28993037,-0.2778347,-0.010403095,0.17017919,-0.080885775
0.1977013,1.7886714,1.4344574,-3.040006,0.14120719,-0.65253973,-2.1932497,-1.4874146,-0.7757189,-2.1675706,-0.58775383,-0.72794026,-1.735978,-1.4814564,-1.0383387,0.002295643,-2.5066175,-1.0954794,-1.2487507,-0.090705015,-0.07219551,-0.59228283
0.215956,0.7967437,0.5781641,-1.197939,-0.0036138645,-0.41329497,-0.6696005,-0.686884,-0.36207375,-1.2171286,-0.2692239,-0.37027538,-0.6451419,-0.8997054,-0.62379,0.09041806,-1.2063382,-0.4254216,-0.3961984,0.24985865,0.054538973,-0.059614576
-0.34240958,1.2555064,0.08822898,-0.9876114,0.5390886,-0.36640534,-0.47815898,-1.000337,-0.034737747,-1.2122653,0.12414764,-0.52404267,-0.59483117,-0.91270626,-0.77733225,-0.73097014,-0.91409826,-0.42978704,-0.5405672,0.31807142,0.18007272,0.19902104
0.0036690328,0.51600266,0.11423506,-0.50789297,0.031873062,-0.03486241,-0.22632271,-0.44756812,-0.08338591,-0.43797663,-0.040247217,-0.15894714,-0.13843071,-0.3878254,-0.24405392,-0.04734426,-0.44029966,-0.320229,-0.20380725,-0.014350457,0.20568645,0.097860545
-0.25255752,0.67956734,0.211976,-0.48162705,0.1290116,0.18253827,-0.37422815,-0.46036208,0.0035794154,-0.48145124,0.01175024,-0.27263844,-0.001317624,-0.22420883,-0.37705567,-0.14782727,-0.4396695,-0.33239996,-0.1437105,-0.053623892,0.5308566,0.33141115
-0.044364814,1.0701979,0.71783215,-1.4995408,0.074828796,-0.39123082,-1.1701889,-1.1178705,-0.6298681,-1.117592,-0.33264244,-0.2470579,-0.6755286,-1.0767506,-0.44353586,0.08406159,-1.0126793,-0.6072691,-0.82037777,-0.13530783,-0.029678993,-0.34287685
0.109056555,0.68106747,0.2532094,-0.7802087,0.14845397,-0.1641583,-0.4819623,-0.36833757,-0.15366818,-0.5610466,-0.28655106,-0.19500667,-0.36953038,-0.5629231,-0.38691577,0.0009924024,-0.8268608,-0.58712304,-0.32160243,-0.19168879,0.081157215,0.04352518
0.29299533,1.0727968,0.67125154,-1.455295,0.18719414,-0.50932467,-0.7812584,-0.807007,-0.17581525,-1.4646583,-0.18703066,-0.42604557,-1.1739521,-1.0442517,-0.83941555,-0.075717725,-1.5389256,-0.6026553,-0.47923082,0.27140498,0.039108418,0.014847271
-0.55473095,0.76337034,0.30285978,-0.62284994,0.26121116,0.112655595,-0.3535118,-0.61951727,-0.07795393,-0.49333823,-0.03633586,-0.105482236,0.028056003,-0.3815578,-0.30886114,-0.32712764,-0.33578908,-0.25147137,-0.14579383,0.049882427,0.48638254,0.20626941
0.35399216,0.95490324,0.6535804,-1.2612484,-0.049296584,-0.71797127,-0.9090801,-1.0065022,-0.24692935,-1.7519501,0.004062902,-0.6105721,-0.9816513,-1.1328988,-0.75907826,-0.039913647,-1.1807619,-0.9453459,-0.8823918,-0.118130945,-0.16319776,-0.04617863
0.7336581,1.3144472,0.58245665,-1.5055344,-0.08375034,-0.5185989,-0.5629991,-0.3530978,-0.47333136,-1.1360229,-0.46640614,-0.57323176,-1.1174562,-1.0020281,-0.76150876,0.07786997,-1.6388571,-0.878439,-0.7932524,-0.16059145,0.17037971,-0.5512247
0.020076621,0.23521064,0.03037393,-0.25994146,0.009730942,0.08457002,-0.18373823,-0.17989942,-0.08343726,-0.24012801,-0.012564033,-0.10743727,-0.1264151,-0.20612635,-0.42676988,0.12071347,-0.2994995,-0.15718368,-0.104869105,-0.053337768,0.27653062,0.11822121
0.17100579,0.98717153,0.4828564,-0.91135454,0.03970271,-0.50630695,-0.50602186,-0.64380205,-0.5861805,-1.1842524,-0.34491605,-0.3746935,-0.76714134,-1.1110622,-0.9140575,0.17819053,-1.3762132,-0.6552474,-0.35270393,0.10131124,0.17711562,-0.17843497
-0.054955684,0.70019716,0.2679057,-0.8472575,0.060307648,0.122654796,-0.67648935,-0.40731418,-0.19037156,-0.30792302,-0.20127666,-0.23146044,-0.25258455,-0.38271084,-0.32820535,0.014712632,-0.6015301,-0.3324352,-0.18855438,-0.15958023,0.44734758,0.0036455542
-0.35685864,0.8632688,0.46359378,-0.8053973,0.34852865,-0.25007853,-0.6683488,-0.7469447,-0.22157519,-0.63558936,-0.09644225,-0.21909504,-0.18224439,-0.60131043,-0.40678316,-0.33958933,-0.82411754,-0.34786448,-0.20379475,0.1534197,0.31095365,0.110194586
